ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.00539108,0.00539108,0.0117711,0,0.00638,0.00638,completed
1,malleable,0.00688401,0.00688401,0.013264,0,0.00638,0.00638,completed
2,malleable,0.00742385,0.0117711,0.0181511,0.00434723,0.00638,0.0107272,completed
3,malleable,0.0117732,0.013264,0.019644,0.00149079,0.00638,0.00787079,completed
4,malleable,0.0150582,0.0181511,0.0245311,0.00309288,0.00638,0.00947288,completed
5,malleable,0.0188504,0.019644,0.026024,0.00079359,0.00638,0.00717359,completed
6,malleable,0.0234561,0.0245311,0.0309111,0.00107494,0.00638,0.00745494,completed
7,malleable,0.0255693,0.026024,0.032404,0.00045473,0.00638,0.00683473,completed
8,malleable,0.030402,0.0309111,0.0372911,0.00050912,0.00638,0.00688912,completed
9,malleable,0.0316416,0.032404,0.038784,0.00076243,0.00638,0.00714243,completed
10,malleable,0.0317667,0.0372911,0.0436711,0.00552443,0.00638,0.0119044,completed
11,malleable,0.0327075,0.038784,0.045164,0.0060765,0.00638,0.0124565,completed
12,malleable,0.0331171,0.0436711,0.0500511,0.010554,0.00638,0.016934,completed
13,malleable,0.0336483,0.045164,0.051544,0.0115157,0.00638,0.0178957,completed
14,malleable,0.03521,0.0500511,0.0564311,0.014841,0.00638,0.021221,completed
15,malleable,0.0374615,0.051544,0.057924,0.0140825,0.00638,0.0204625,completed
16,malleable,0.0392497,0.0564311,0.0628111,0.0171813,0.00638,0.0235613,completed
17,malleable,0.0419028,-1,0.0419028,-1,1.0419,0,killed
18,malleable,0.0433275,-1,0.0433275,-1,1.04333,0,killed
19,malleable,0.0438247,0.057924,0.064304,0.0140993,0.00638,0.0204793,completed
20,malleable,0.0456581,0.0628111,0.0691911,0.0171529,0.00638,0.0235329,completed
21,malleable,0.0501521,0.064304,0.070684,0.0141519,0.00638,0.0205319,completed
22,malleable,0.0515978,0.0691911,0.0755711,0.0175933,0.00638,0.0239733,completed
23,malleable,0.0538619,-1,0.0538619,-1,1.05386,0,killed
24,malleable,0.0563082,-1,0.0563082,-1,1.05631,0,killed
25,malleable,0.0579624,0.070684,0.077064,0.0127216,0.00638,0.0191016,completed
26,malleable,0.0598277,0.0755711,0.0819511,0.0157434,0.00638,0.0221234,completed
27,malleable,0.0634287,0.077064,0.083444,0.0136353,0.00638,0.0200153,completed
28,malleable,0.0659706,0.0819511,0.0883311,0.0159805,0.00638,0.0223605,completed
29,malleable,0.0669651,-1,0.0669651,-1,1.06697,0,killed
30,malleable,0.069318,0.083444,0.089824,0.014126,0.00638,0.020506,completed
31,malleable,0.0703345,-1,0.0703345,-1,1.07033,0,killed
32,malleable,0.0721638,0.0883311,0.0947111,0.0161673,0.00638,0.0225473,completed
33,malleable,0.0754975,-1,0.0754975,-1,1.0755,0,killed
34,malleable,0.0756181,0.089824,0.096204,0.0142059,0.00638,0.0205859,completed
35,malleable,0.0785808,0.0947111,0.101091,0.0161303,0.00638,0.0225103,completed
36,malleable,0.0824833,0.096204,0.102584,0.0137207,0.00638,0.0201007,completed
37,malleable,0.0871545,0.101091,0.107471,0.0139366,0.00638,0.0203166,completed
38,malleable,0.0906743,0.102584,0.108964,0.0119097,0.00638,0.0182897,completed
39,malleable,0.0912194,0.107471,0.113851,0.0162517,0.00638,0.0226317,completed
40,malleable,0.0978945,0.108964,0.115344,0.0110695,0.00638,0.0174495,completed
41,malleable,0.0979465,0.113851,0.120231,0.0159045,0.00638,0.0222845,completed
42,malleable,0.0979522,-1,0.0979522,-1,1.09795,0,killed
43,malleable,0.0996467,-1,0.0996467,-1,1.09965,0,killed
44,malleable,0.100999,-1,0.100999,-1,1.101,0,killed
