Time,queue_length,load,Running Jobs,Invocation Type,Allocated CA Nodes,Job ID
0.00085681,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job0
0.00296542,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job1
0.00524257,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job2
0.00683209,2,4,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job3
0.00723681,2,3,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job0
0.007400800000000001,2,4,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job4
0.00850141,3,5,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job5
0.00934542,3,4,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job1
0.00990714,3,5,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job6
0.01353514,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job7
0.01360809,5,7,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job8
0.01361681,5,6,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job2
0.01439005,5,7,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job9
0.01572542,5,6,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job3
0.01999681,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job4
0.02210542,3,4,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job5
0.02514319,3,5,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job10
0.02582492,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job11
0.02637681,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job6
0.0278232,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job12
0.02848542,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job7
0.03120031,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job13
0.03275681,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job8
0.03352778,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job14
0.03486542,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job9
0.03532071,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job15
0.039136809999999994,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job10
0.03923097,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job16
0.04124542,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job11
0.04261028,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job17
0.04364576,5,7,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job18
0.04551681,5,6,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job12
0.04762542,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job13
0.04911444,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job19
