ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.00138759,0.00138759,0.00776759,0,0.00638,0.00638,completed
1,malleable,0.00418258,0.00776759,0.0141476,0.00358501,0.00638,0.00996501,completed
2,malleable,0.00477894,0.0141476,0.0205276,0.00936865,0.00638,0.0157486,completed
3,malleable,0.00687612,0.0205276,0.0269076,0.0136515,0.00638,0.0200315,completed
4,malleable,0.00942483,0.0269076,0.0332876,0.0174828,0.00638,0.0238628,completed
5,malleable,0.0138786,0.0332876,0.0396676,0.019409,0.00638,0.025789,completed
6,malleable,0.0218103,0.0396676,0.0460476,0.0178573,0.00638,0.0242373,completed
7,malleable,0.0227772,0.0460476,0.0524276,0.0232704,0.00638,0.0296504,completed
8,malleable,0.0235189,0.0524276,0.0588076,0.0289087,0.00638,0.0352887,completed
9,malleable,0.0258548,-1,0.0258548,-1,1.02585,0,killed
10,malleable,0.0263341,-1,0.0263341,-1,1.02633,0,killed
11,malleable,0.0330247,0.0588076,0.0651876,0.0257828,0.00638,0.0321628,completed
12,malleable,0.0345835,0.0651876,0.0715676,0.0306041,0.00638,0.0369841,completed
13,malleable,0.0420883,0.0715676,0.0779476,0.0294793,0.00638,0.0358593,completed
14,malleable,0.0440209,-1,0.0440209,-1,1.04402,0,killed
15,malleable,0.0453477,-1,0.0453477,-1,1.04535,0,killed
16,malleable,0.0500785,0.0779476,0.0843276,0.0278691,0.00638,0.0342491,completed
17,malleable,0.0514085,-1,0.0514085,-1,1.05141,0,killed
18,malleable,0.0528999,0.0843276,0.0907076,0.0314277,0.00638,0.0378077,completed
19,malleable,0.0579542,-1,0.0579542,-1,1.05795,0,killed
20,malleable,0.0616136,0.0907076,0.0970876,0.0290939,0.00638,0.0354739,completed
21,malleable,0.0619942,-1,0.0619942,-1,1.06199,0,killed
22,malleable,0.0633014,-1,0.0633014,-1,1.0633,0,killed
23,malleable,0.0637359,-1,0.0637359,-1,1.06374,0,killed
24,malleable,0.0649191,-1,0.0649191,-1,1.06492,0,killed
25,malleable,0.0684337,0.0970876,0.103468,0.0286539,0.00638,0.0350339,completed
26,malleable,0.0699253,-1,0.0699253,-1,1.06993,0,killed
27,malleable,0.0753023,0.103468,0.109848,0.0281653,0.00638,0.0345453,completed
28,malleable,0.0784932,0.109848,0.116228,0.0313544,0.00638,0.0377344,completed
29,malleable,0.0815946,-1,0.0815946,-1,1.08159,0,killed
30,malleable,0.0819819,-1,0.0819819,-1,1.08198,0,killed
31,malleable,0.0834241,-1,0.0834241,-1,1.08342,0,killed
32,malleable,0.0862748,0.116228,0.122608,0.0299528,0.00638,0.0363328,completed
33,malleable,0.100457,0.122608,0.128988,0.0221505,0.00638,0.0285305,completed
34,malleable,0.111457,0.128988,0.135368,0.017531,0.00638,0.023911,completed
35,malleable,0.112344,0.135368,0.141748,0.0230233,0.00638,0.0294033,completed
36,malleable,0.115392,0.141748,0.148128,0.0263554,0.00638,0.0327354,completed
37,malleable,0.120806,0.148128,0.154508,0.0273213,0.00638,0.0337013,completed
38,malleable,0.12489,0.154508,0.160888,0.0296174,0.00638,0.0359974,completed
39,malleable,0.128544,-1,0.128544,-1,1.12854,0,killed
40,malleable,0.14121,0.160888,0.167268,0.0196777,0.00638,0.0260577,completed
41,malleable,0.143452,0.167268,0.173648,0.0238157,0.00638,0.0301957,completed
42,malleable,0.148136,0.173648,0.180028,0.0255112,0.00638,0.0318912,completed
43,malleable,0.151592,0.180028,0.186408,0.0284361,0.00638,0.0348161,completed
44,malleable,0.153209,-1,0.153209,-1,1.15321,0,killed
45,malleable,0.156125,0.186408,0.192788,0.0302822,0.00638,0.0366622,completed
46,malleable,0.159887,-1,0.159887,-1,1.15989,0,killed
47,malleable,0.161841,0.192788,0.199168,0.0309467,0.00638,0.0373267,completed
48,malleable,0.166311,-1,0.166311,-1,1.16631,0,killed
49,malleable,0.170046,0.199168,0.205548,0.0291216,0.00638,0.0355016,completed
50,malleable,0.174138,0.205548,0.211928,0.0314097,0.00638,0.0377897,completed
51,malleable,0.17544,-1,0.17544,-1,1.17544,0,killed
52,malleable,0.188493,0.211928,0.218308,0.0234348,0.00638,0.0298148,completed
53,malleable,0.189867,0.218308,0.224688,0.0284404,0.00638,0.0348204,completed
54,malleable,0.192378,-1,0.192378,-1,1.19238,0,killed
55,malleable,0.19731,0.224688,0.231068,0.0273776,0.00638,0.0337576,completed
56,malleable,0.199493,0.231068,0.237448,0.0315743,0.00638,0.0379543,completed
57,malleable,0.200237,-1,0.200237,-1,1.20024,0,killed
58,malleable,0.200611,-1,0.200611,-1,1.20061,0,killed
59,malleable,0.201943,-1,0.201943,-1,1.20194,0,killed
60,malleable,0.204722,-1,0.204722,-1,1.20472,0,killed
61,malleable,0.212645,0.237448,0.243828,0.024803,0.00638,0.031183,completed
62,malleable,0.217755,0.243828,0.250208,0.0260727,0.00638,0.0324527,completed
63,malleable,0.221937,0.250208,0.256588,0.0282709,0.00638,0.0346509,completed
64,malleable,0.224549,-1,0.224549,-1,1.22455,0,killed
65,malleable,0.228488,0.256588,0.262968,0.0280993,0.00638,0.0344793,completed
66,malleable,0.243129,0.262968,0.269348,0.0198384,0.00638,0.0262184,completed
67,malleable,0.254112,0.269348,0.275728,0.0152355,0.00638,0.0216155,completed
68,malleable,0.255787,0.275728,0.282108,0.0199409,0.00638,0.0263209,completed
69,malleable,0.259399,0.282108,0.288488,0.0227088,0.00638,0.0290888,completed
70,malleable,0.259693,0.288488,0.294868,0.0287945,0.00638,0.0351745,completed
71,malleable,0.26354,0.294868,0.301248,0.0313281,0.00638,0.0377081,completed
72,malleable,0.26603,-1,0.26603,-1,1.26603,0,killed
73,malleable,0.276234,0.301248,0.307628,0.0250134,0.00638,0.0313934,completed
74,malleable,0.278155,0.307628,0.314008,0.0294728,0.00638,0.0358528,completed
75,malleable,0.279142,-1,0.279142,-1,1.27914,0,killed
76,malleable,0.282284,0.314008,0.320388,0.0317235,0.00638,0.0381035,completed
77,malleable,0.284384,-1,0.284384,-1,1.28438,0,killed
78,malleable,0.284578,-1,0.284578,-1,1.28458,0,killed
79,malleable,0.28849,0.320388,0.326768,0.0318977,0.00638,0.0382777,completed
80,malleable,0.291718,-1,0.291718,-1,1.29172,0,killed
81,malleable,0.297399,0.326768,0.333148,0.0293686,0.00638,0.0357486,completed
82,malleable,0.3001,-1,0.3001,-1,1.3001,0,killed
83,malleable,0.304974,0.333148,0.339528,0.0281738,0.00638,0.0345538,completed
84,malleable,0.305897,-1,0.305897,-1,1.3059,0,killed
85,malleable,0.312524,0.339528,0.345908,0.0270039,0.00638,0.0333839,completed
86,malleable,0.317331,0.345908,0.352288,0.0285769,0.00638,0.0349569,completed
87,malleable,0.318257,-1,0.318257,-1,1.31826,0,killed
88,malleable,0.319568,-1,0.319568,-1,1.31957,0,killed
89,malleable,0.320242,-1,0.320242,-1,1.32024,0,killed
90,malleable,0.321731,0.352288,0.358668,0.0305569,0.00638,0.0369369,completed
91,malleable,0.326121,-1,0.326121,-1,1.32612,0,killed
92,malleable,0.33812,0.358668,0.365048,0.0205477,0.00638,0.0269277,completed
