ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.00364029,0.00364029,0.0100203,0,0.00638,0.00638,completed
1,malleable,0.00821878,0.0100203,0.0164003,0.00180151,0.00638,0.00818151,completed
2,malleable,0.0161627,0.0164003,0.0227803,0.00023764,0.00638,0.00661764,completed
3,malleable,0.0169821,0.0227803,0.0291603,0.00579823,0.00638,0.0121782,completed
4,malleable,0.0208141,0.0291603,0.0355403,0.00834623,0.00638,0.0147262,completed
5,malleable,0.0265031,0.0355403,0.0419203,0.00903716,0.00638,0.0154172,completed
6,malleable,0.0464132,0.0464132,0.0527932,-6.93889e-18,0.00638,0.00638,completed
7,malleable,0.0498433,0.0527932,0.0591732,0.00294992,0.00638,0.00932992,completed
8,malleable,0.0527685,0.0591732,0.0655532,0.00640473,0.00638,0.0127847,completed
9,malleable,0.0537036,0.0655532,0.0719332,0.0118496,0.00638,0.0182296,completed
10,malleable,0.0579907,0.0719332,0.0783132,0.0139425,0.00638,0.0203225,completed
11,malleable,0.0771134,0.0783132,0.0846932,0.00119984,0.00638,0.00757984,completed
12,malleable,0.0879787,0.0879787,0.0943587,0,0.00638,0.00638,completed
13,malleable,0.121868,0.121868,0.128248,0,0.00638,0.00638,completed
14,malleable,0.142703,0.142703,0.149083,0,0.00638,0.00638,completed
15,malleable,0.147925,0.149083,0.155463,0.00115812,0.00638,0.00753812,completed
16,malleable,0.156831,0.156831,0.163211,0,0.00638,0.00638,completed
17,malleable,0.162584,0.163211,0.169591,0.00062758,0.00638,0.00700758,completed
18,malleable,0.208143,0.208143,0.214523,0,0.00638,0.00638,completed
19,malleable,0.238377,0.238377,0.244757,0,0.00638,0.00638,completed
20,malleable,0.248747,0.248747,0.255127,0,0.00638,0.00638,completed
21,malleable,0.257867,0.257867,0.264247,0,0.00638,0.00638,completed
22,malleable,0.258939,0.264247,0.270627,0.00530793,0.00638,0.0116879,completed
23,malleable,0.266641,0.270627,0.277007,0.003986,0.00638,0.010366,completed
24,malleable,0.268936,0.277007,0.283387,0.00807148,0.00638,0.0144515,completed
25,malleable,0.280154,0.283387,0.289767,0.00323315,0.00638,0.00961315,completed
26,malleable,0.281452,0.289767,0.296147,0.00831496,0.00638,0.014695,completed
27,malleable,0.301492,0.301492,0.307872,0,0.00638,0.00638,completed
28,malleable,0.326968,0.326968,0.333348,0,0.00638,0.00638,completed
29,malleable,0.336008,0.336008,0.342388,0,0.00638,0.00638,completed
30,malleable,0.337048,0.342388,0.348768,0.00533912,0.00638,0.0117191,completed
31,malleable,0.345262,0.348768,0.355148,0.00350563,0.00638,0.00988563,completed
32,malleable,0.346409,0.355148,0.361528,0.00873889,0.00638,0.0151189,completed
33,malleable,0.364589,0.364589,0.370969,0,0.00638,0.00638,completed
34,malleable,0.365369,0.370969,0.377349,0.00559932,0.00638,0.0119793,completed
35,malleable,0.376528,0.377349,0.383729,0.00082044,0.00638,0.00720044,completed
36,malleable,0.378336,0.383729,0.390109,0.00539324,0.00638,0.0117732,completed
37,malleable,0.381493,0.390109,0.396489,0.00861532,0.00638,0.0149953,completed
38,malleable,0.392736,0.396489,0.402869,0.00375236,0.00638,0.0101324,completed
39,malleable,0.399382,0.402869,0.409249,0.00348681,0.00638,0.00986681,completed
40,malleable,0.407117,0.409249,0.415629,0.00213216,0.00638,0.00851216,completed
41,malleable,0.417101,0.417101,0.423481,0,0.00638,0.00638,completed
42,malleable,0.417857,0.423481,0.429861,0.00562403,0.00638,0.012004,completed
43,malleable,0.447161,0.447161,0.453541,0,0.00638,0.00638,completed
44,malleable,0.450987,0.453541,0.459921,0.00255391,0.00638,0.00893391,completed
45,malleable,0.451802,0.459921,0.466301,0.00811879,0.00638,0.0144988,completed
46,malleable,0.45189,0.466301,0.472681,0.0144111,0.00638,0.0207911,completed
47,malleable,0.456622,0.472681,0.479061,0.016059,0.00638,0.022439,completed
48,malleable,0.466055,0.479061,0.485441,0.0130061,0.00638,0.0193861,completed
49,malleable,0.478368,0.485441,0.491821,0.0070728,0.00638,0.0134528,completed
50,malleable,0.498931,0.498931,0.505311,0,0.00638,0.00638,completed
51,malleable,0.501922,0.505311,0.511691,0.00338908,0.00638,0.00976908,completed
52,malleable,0.502913,0.511691,0.518071,0.00877773,0.00638,0.0151577,completed
53,malleable,0.507797,0.518071,0.524451,0.0102734,0.00638,0.0166534,completed
54,malleable,0.521222,0.524451,0.530831,0.00322893,0.00638,0.00960893,completed
55,malleable,0.522991,0.530831,0.537211,0.0078393,0.00638,0.0142193,completed
56,malleable,0.527982,0.537211,0.543591,0.00922849,0.00638,0.0156085,completed
57,malleable,0.532431,0.543591,0.549971,0.0111599,0.00638,0.0175399,completed
58,malleable,0.535872,0.549971,0.556351,0.0140985,0.00638,0.0204785,completed
59,malleable,0.540817,0.556351,0.562731,0.0155333,0.00638,0.0219133,completed
60,malleable,0.541344,0.562731,0.569111,0.0213867,0.00638,0.0277667,completed
61,malleable,0.545419,0.569111,0.575491,0.0236918,0.00638,0.0300718,completed
62,malleable,0.553559,0.575491,0.581871,0.021932,0.00638,0.028312,completed
63,malleable,0.563389,0.581871,0.588251,0.0184814,0.00638,0.0248614,completed
64,malleable,0.581135,0.588251,0.594631,0.00711544,0.00638,0.0134954,completed
65,malleable,0.586198,0.594631,0.601011,0.00843262,0.00638,0.0148126,completed
66,malleable,0.589233,0.601011,0.607391,0.011778,0.00638,0.018158,completed
67,malleable,0.602025,0.607391,0.613771,0.00536605,0.00638,0.0117461,completed
68,malleable,0.614593,0.614593,0.620973,0,0.00638,0.00638,completed
69,malleable,0.627247,0.627247,0.633627,0,0.00638,0.00638,completed
70,malleable,0.630989,0.633627,0.640007,0.00263746,0.00638,0.00901746,completed
71,malleable,0.633935,0.640007,0.646387,0.00607214,0.00638,0.0124521,completed
